folioviv,foliohog,id_pobla,geo_p,anio_nac_p,nivel_p,grado_p,sinco_p,lengua_p,padre_muer,geo_m,anio_nac_m,nivel_m,grado_m,sinco_m,lengua_m,madre_muer,hijos_m,hijos_nac,sosten,calle_pav,agua_entub,techo_loza,banio_int,licuadora,microondas,tostador,estufa,refrigera,lavadora,radio,tocadiscos,television,video_dvd,compu,tv_paga,videojuego,tel_fijo,tel_movil,internet,camara,enciclope,automovil,otra_viv,local_com,tierras,tractor,anim_trab,ganado,terrenos,cuenta_ban,tc_banc,tc_depar,serv_domes,cvegeo,cve_ent,cve_mun,est_dis,upm,factor_per
080465705,1,02,70008032,1966,12,3,2639,2,,70008032,1970,09,3,1003,2,,3,2,02,1,1,1,1,1,2,2,1,1,1,2,2,1,1,1,2,2,1,1,2,2,2,1,2,2,2,2,2,2,2,1,1,1,2,08032,08,032,0112,00003,3809
080486602,1,01,70008029,1942,00,0,6119,2,,70008029,1944,09,3,1003,2,,8,4,02,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,,,2,2,2,2,2,1,2,1,1,1,2,2,2,2,08037,08,037,0104,00001,1687
080486604,1,01,70008037,1960,06,5,8331,2,,70008037,1961,06,3,1003,2,,7,5,02,2,1,1,1,9,9,9,1,1,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,08037,08,037,0104,00001,3374
080486901,1,01,70009006,1969,14,5,2332,2,,70005999,1969,14,5,5101,2,,2,0,03,1,1,1,1,2,2,2,1,1,2,1,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,9,9,9,2,08037,08,037,0104,00002,1913
080486902,1,01,,,,,,,,70010005,1948,06,6,1003,2,,7,2,07,2,1,2,1,2,2,2,1,1,2,1,2,1,2,2,2,2,2,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,08037,08,037,0104,00002,1913
080486903,1,02,70007035,9999,06,6,6119,2,,70007035,9999,06,6,1003,2,,4,3,02,1,1,2,1,1,2,1,2,1,2,2,2,1,2,2,2,2,2,2,2,2,2,1,2,2,1,2,2,2,2,2,2,2,2,08037,08,037,0104,00002,3827
080487301,1,04,70008037,9999,99,9,7322,2,2018,,,,,,,,,,02,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,,,1,1,2,1,1,1,1,1,1,1,1,1,1,1,08037,08,037,0105,00001,3699
080487302,1,01,70005017,1939,06,3,6119,2,1996,70005017,1945,06,6,1003,2,,6,1,02,2,1,2,1,1,2,2,1,2,2,2,2,1,2,2,2,2,2,,,2,2,2,2,2,1,2,1,1,1,1,2,2,2,08037,08,037,0105,00001,1233
080487302,2,01,70008011,9999,06,6,4111,2,2016,70008007,9999,06,6,4211,2,2023,6,3,02,2,1,1,1,2,2,2,1,1,2,2,1,1,2,2,2,2,2,,,2,2,2,2,1,2,2,2,2,2,2,2,2,2,08037,08,037,0105,00001,1233
080487302,3,01,70030021,1950,06,5,6111,2,2020,70030087,1952,99,9,1003,2,,9,3,02,2,2,2,2,2,2,2,2,1,2,2,2,1,2,2,2,2,2,,,2,2,2,2,2,1,1,2,2,2,2,2,2,2,08037,08,037,0105,00001,1233
